WarName,StateName,Side,StartYear,EndYear,WhereFought,Outcome,BatDeath,Movies
Second Sino-Japanese,Japan,1,1931,1933,7,1,10000.0,931
Second Sino-Japanese,China,2,1931,1933,7,2,50000.0,931
Chaco,Bolivia,2,1932,1935,1,2,56661.0,1198
Chaco,Paraguay,1,1932,1935,1,1,36000.0,1198
Saudi-Yemeni,Saudi Arabia,1,1934,1934,6,1,100.0,806
Saudi-Yemeni,Yemen Arab Republic,2,1934,1934,6,2,2000.0,806
Conquest of Ethiopia,Italy,1,1935,1936,4,1,4000.0,987
Conquest of Ethiopia,Ethiopia,2,1935,1936,4,2,16000.0,987
Third Sino-Japanese,China,2,1937,1941,7,2,750000.0,1483
Third Sino-Japanese,Japan,1,1937,1941,7,1,250000.0,1483
Changkufeng,USSR,2,1938,1938,7,1,1200.0,809
Changkufeng,Japan,1,1938,1938,7,2,526.0,809
Nomonhan,USSR,1,1939,1939,7,1,5000.0,810
Nomonhan,Mongolia,1,1939,1939,7,1,3000.0,810
Nomonhan,Japan,2,1939,1939,7,2,20000.0,810
World War II,Hungary,2,1941,1945,2,2,136000.0,1758
World War II,Belgium,1,1940,1940,2,1,9600.0,1758
World War II,France,2,1940,1941,2,2,2500.0,1758
World War II,Yugoslavia,1,1941,1941,2,1,305000.0,1758
World War II,Finland,2,1941,1944,2,2,65000.0,1758
World War II,Norway,1,1940,1940,2,1,3000.0,1758
World War II,Canada,1,1939,1945,2,1,41992.0,1758
World War II,United States of America,1,1941,1945,19,1,405400.0,1758
World War II,United Kingdom,1,1939,1945,15,1,418765.0,1758
World War II,Netherlands,1,1940,1940,2,1,7900.0,1758
World War II,Italy,2,1940,1943,14,2,174500.0,1758
World War II,Romania,1,1944,1945,2,1,10000.0,1758
World War II,Romania,2,1941,1944,2,2,290000.0,1758
World War II,Bulgaria,2,1941,1944,2,2,9000.0,1758
World War II,Bulgaria,1,1944,1945,2,1,1000.0,1758
World War II,Greece,1,1940,1941,2,1,18300.0,1758
World War II,Brazil,1,1944,1945,2,1,1000.0,1758
World War II,Italy,1,1943,1945,14,1,52400.0,1758
World War II,Australia,1,1939,1945,16,1,33826.0,1758
World War II,New Zealand,1,1939,1945,16,1,12200.0,1758
World War II,USSR,1,1945,1945,12,1,7500000.0,1758
World War II,Germany,2,1939,1945,14,2,3500000.0,1758
World War II,Poland,1,1939,1939,2,1,320000.0,1758
World War II,France,1,1944,1945,2,1,210824.0,1758
World War II,Japan,2,1941,1945,17,2,1740000.0,1758
World War II,Mongolia,1,1945,1945,7,1,3000.0,1758
World War II,China,1,1941,1945,7,1,1350000.0,1758
World War II,South Africa,1,1939,1945,4,1,8700.0,1758
World War II,Ethiopia,1,1941,1941,4,1,5000.0,1758
Russo-Finnish,Finland,2,1939,1940,2,2,24923.0,979
Russo-Finnish,USSR,1,1939,1940,2,1,126875.0,979
Franco-Thai,France,2,1940,1941,7,2,700.0,961
Franco-Thai,Thailand,1,1940,1941,7,1,700.0,961
First Kashmir,India,1,1947,1949,7,6,2500.0,1207
First Kashmir,Pakistan,2,1947,1949,7,6,1000.0,1207
Arab-Israeli,Israel,1,1948,1949,6,1,3000.0,1066
Arab-Israeli,Egypt,2,1948,1949,6,2,2000.0,1066
Arab-Israeli,Syria,2,1948,1948,6,2,1000.0,1066
Arab-Israeli,Lebanon,2,1948,1948,6,2,500.0,1066
Arab-Israeli,Jordan,2,1948,1948,6,2,1000.0,1066
Arab-Israeli,Iraq,2,1948,1948,6,2,500.0,1066
Korean,China,2,1950,1953,7,6,422612.0,1540
Korean,Belgium,1,1951,1953,7,6,97.0,1540
Korean,Canada,1,1950,1953,7,6,309.0,1540
Korean,Colombia,1,1951,1953,7,6,140.0,1540
Korean,United Kingdom,1,1950,1953,7,6,710.0,1540
Korean,Netherlands,1,1951,1953,7,6,111.0,1540
Korean,Greece,1,1951,1953,7,6,169.0,1540
Korean,France,1,1951,1953,7,6,288.0,1540
Korean,Turkey,1,1950,1953,7,6,717.0,1540
Korean,Philippines,1,1950,1953,7,6,92.0,1540
Korean,Thailand,1,1951,1953,7,6,114.0,1540
Korean,North Korea,2,1950,1953,7,6,316579.0,1540
Korean,Ethiopia,1,1951,1953,7,6,120.0,1540
Korean,Australia,1,1950,1953,7,6,291.0,1540
Korean,South Korea,1,1950,1953,7,6,113248.0,1540
Korean,United States of America,1,1950,1953,7,6,54487.0,1540
Off-shore Islands,China,1,1954,1955,7,1,1003.0,1217
Off-shore Islands,Taiwan,2,1954,1955,7,2,1367.0,1217
Sinai War,France,1,1956,1956,6,1,10.0,1011
Sinai War,Israel,1,1956,1956,6,1,189.0,1011
Sinai War,Egypt,2,1956,1956,6,2,3000.0,1011
Sinai War,United Kingdom,1,1956,1956,6,1,22.0,1011
Soviet Invasion of Hungary,Hungary,2,1956,1956,2,2,926.0,1011
Soviet Invasion of Hungary,USSR,1,1956,1956,2,1,1500.0,1011
IfniWar,France,1,1958,1958,6,1,0.0,1194
IfniWar,Spain,1,1957,1958,6,1,122.0,1194
IfniWar,Morocco,2,1957,1958,6,2,1000.0,1194
Taiwan Straits,China (PRC),1,1958,1958,7,6,300.0,995
Taiwan Straits,Taiwan (ROC),2,1958,1958,7,6,1500.0,995
Assam,India,2,1962,1962,7,2,1353.0,867
Assam,China (PRC),1,1962,1962,7,1,500.0,867
"Vietnam War, Phase 2",United States of America,2,1965,1973,7,2,58153.0,3101
"Vietnam War, Phase 2",Cambodia,2,1970,1975,7,2,2500.0,3101
"Vietnam War, Phase 2",South Korea,2,1965,1973,7,2,4687.0,3101
"Vietnam War, Phase 2",Philippines,2,1966,1973,7,2,1000.0,3101
"Vietnam War, Phase 2",South Vietnam,2,1965,1975,7,2,254257.0,3101
"Vietnam War, Phase 2",Vietnam,1,1965,1975,7,1,700000.0,3101
"Vietnam War, Phase 2",Thailand,2,1967,1973,7,2,351.0,3101
"Vietnam War, Phase 2",Australia,2,1965,1972,7,2,494.0,3101
Second Kashmir,India,2,1965,1965,7,2,3261.0,953
Second Kashmir,Pakistan,1,1965,1965,7,1,3800.0,953
Six Day War,Israel,1,1967,1967,6,1,1000.0,1025
Six Day War,Egypt,2,1967,1967,6,2,10000.0,1025
Six Day War,Jordan,2,1967,1967,6,2,6100.0,1025
Six Day War,Syria,2,1967,1967,6,2,2500.0,1025
"Second Laotian, Phase 2",United States of America,2,1968,1973,7,2,375.0,2136
"Second Laotian, Phase 2",Thailand,2,1970,1973,7,2,-9.0,2136
"Second Laotian, Phase 2",Laos,2,1968,1973,7,2,11250.0,2136
"Second Laotian, Phase 2",Vietnam,1,1968,1973,7,1,2250.0,2136
War of Attrition,Egypt,2,1969,1970,6,6,5000.0,1311
War of Attrition,Israel,1,1969,1970,6,6,368.0,1311
Football War,Honduras,2,1969,1969,1,2,1200.0,1075
Football War,El Salvador,1,1969,1969,1,1,700.0,1075
Communist Coalition,Vietnam,1,1970,1971,7,4,400.0,1313
Communist Coalition,United States of America,2,1970,1971,7,4,125.0,1313
Communist Coalition,Cambodia,2,1970,1971,7,4,5000.0,1313
Communist Coalition,South Vietnam,2,1970,1971,7,4,1000.0,1313
Bangladesh,India,1,1971,1971,7,1,3241.0,1116
Bangladesh,Pakistan,2,1971,1971,7,2,7982.0,1116
Yom Kippur War,Egypt,2,1973,1973,6,2,7700.0,1095
Yom Kippur War,Saudi Arabia,2,1973,1973,6,2,100.0,1095
Yom Kippur War,Israel,1,1973,1973,6,1,2838.0,1095
Yom Kippur War,Jordan,2,1973,1973,6,2,23.0,1095
Yom Kippur War,Syria,2,1973,1973,6,2,3500.0,1095
Yom Kippur War,Iraq,2,1973,1973,6,2,278.0,1095
Turco-Cypriot,Turkey,1,1974,1974,2,1,1000.0,1074
Turco-Cypriot,Cyprus,2,1974,1974,2,2,500.0,1074
War over Angola,Cuba,1,1975,1976,4,4,1500.0,1286
War over Angola,South Africa,2,1975,1976,4,4,100.0,1286
War over Angola,Democratic Republic of the Congo,2,1975,1976,4,4,100.0,1286
War over Angola,Angola,1,1975,1976,4,4,1000.0,1286
"Second Ogaden War, Phase 2",Ethiopia,1,1977,1978,4,4,1800.0,1340
"Second Ogaden War, Phase 2",Cuba,1,1977,1978,4,4,700.0,1340
"Second Ogaden War, Phase 2",Somalia,2,1977,1978,4,4,8000.0,1340
Vietnamese-Cambodian,Vietnam,1,1977,1979,7,4,3000.0,1577
Vietnamese-Cambodian,Cambodia,2,1977,1979,7,4,5000.0,1577
Ugandian-Tanzanian,Uganda,2,1978,1979,4,2,1500.0,1386
Ugandian-Tanzanian,Tanzania,1,1978,1979,4,1,1000.0,1386
Ugandian-Tanzanian,Libya,2,1979,1979,4,2,500.0,1386
Sino-Vietnamese Punitive,China,1,1979,1979,7,1,13000.0,1178
Sino-Vietnamese Punitive,Vietnam,2,1979,1979,7,2,8000.0,1178
Iran-Iraq,Iraq,2,1980,1988,6,6,500000.0,3977
Iran-Iraq,Iran,1,1980,1988,6,6,750000.0,3977
