WarName,StateName,Side,StartYear,EndYear,WhereFought,Outcome,BatDeath,Movies
Falkland Islands,United Kingdom,1,1982,1982,1,1,255.0,1300
Falkland Islands,Argentina,2,1982,1982,1,2,746.0,1300
War over Lebanon,Israel,1,1982,1982,6,6,455.0,1300
War over Lebanon,Syria,2,1982,1982,6,6,1200.0,1300
War over the Aouzou Strip,Chad,1,1986,1987,18,1,1000.0,2114
War over the Aouzou Strip,Libya,2,1986,1987,18,2,7000.0,2114
Sino-Vietnamese Border War,Vietnam,2,1987,1987,7,6,2200.0,1828
Sino-Vietnamese Border War,China,1,1987,1987,7,6,1800.0,1828
Gulf War,Kuwait,1,1990,1991,6,1,1000.0,2347
Gulf War,United States of America,1,1991,1991,6,1,376.0,2347
Gulf War,Canada,1,1991,1991,6,1,0.0,2347
Gulf War,United Kingdom,1,1991,1991,6,1,24.0,2347
Gulf War,Italy,1,1991,1991,6,1,0.0,2347
Gulf War,Morocco,1,1991,1991,6,1,0.0,2347
Gulf War,Iraq,2,1990,1991,6,2,40000.0,2347
Gulf War,Egypt,1,1991,1991,6,1,14.0,2347
Gulf War,Oman,1,1991,1991,6,1,0.0,2347
Gulf War,France,1,1991,1991,6,1,2.0,2347
Gulf War,United Arab Emirates,1,1991,1991,6,1,6.0,2347
Gulf War,Qatar,1,1991,1991,6,1,0.0,2347
Gulf War,Saudi Arabia,1,1991,1991,6,1,44.0,2347
Gulf War,Syria,1,1991,1991,6,1,0.0,2347
Bosnian Independence,Croatia,1,1992,1992,2,4,500.0,2034
Bosnian Independence,Bosnia,1,1992,1992,2,4,2850.0,2034
Bosnian Independence,Yugoslavia,2,1992,1992,2,4,1890.0,2034
Azeri-Armenian,Azerbaijan,2,1993,1994,2,2,8500.0,2608
Azeri-Armenian,Armenia,1,1993,1994,2,1,5500.0,2608
Cenepa Valley,Ecuador,2,1995,1995,1,3,550.0,2410
Cenepa Valley,Peru,1,1995,1995,1,3,950.0,2410
Badme Border,Eritrea,1,1998,2000,4,6,50000.0,4220
Badme Border,Ethiopia,2,1998,2000,4,6,70000.0,4220
War for Kosovo,Turkey,1,1999,1999,2,1,0.0,2942
War for Kosovo,Italy,1,1999,1999,2,1,0.0,2942
War for Kosovo,United Kingdom,1,1999,1999,2,1,0.0,2942
War for Kosovo,United States of America,1,1999,1999,2,1,2.0,2942
War for Kosovo,Netherlands,1,1999,1999,2,1,0.0,2942
War for Kosovo,France,1,1999,1999,2,1,0.0,2942
War for Kosovo,Yugoslavia,2,1999,1999,2,2,5000.0,2942
War for Kosovo,Germany,1,1999,1999,2,1,0.0,2942
Kargil War,India,1,1999,1999,7,1,474.0,2942
Kargil War,Pakistan,2,1999,1999,7,2,698.0,2942
Invasion of Afghanistan,Canada,1,2001,2001,7,4,0.0,3426
Invasion of Afghanistan,France,1,2001,2001,7,4,0.0,3426
Invasion of Afghanistan,United Kingdom,1,2001,2001,7,4,0.0,3426
Invasion of Afghanistan,United States of America,1,2001,2001,7,4,2.0,3426
Invasion of Afghanistan,Australia,1,2001,2001,7,4,0.0,3426
Invasion of Afghanistan,Afghanistan,2,2001,2001,7,4,4000.0,3426
Invasion of Iraq,Australia,1,2003,2003,6,4,0.0,3988
Invasion of Iraq,United Kingdom,1,2003,2003,6,4,33.0,3988
Invasion of Iraq,United States of America,1,2003,2003,6,4,140.0,3988
Invasion of Iraq,Iraq,2,2003,2003,6,4,7000.0,3988
Gaza-Israel conflict,Israel,1,2006,2024,6,0,1700.0,8726
Gaza-Israel conflict,Palestine,2,2006,2024,6,0,44500.0,8726
Russo-Georgian War,Russia,1,2008,2008,12,0,70.0,5502
Russo-Georgian War,South Ossetia,1,2008,2008,12,0,365.0,5502
Russo-Georgian War,Abkhazia,1,2008,2008,12,0,70.0,5502
Russo-Georgian War,Georgia,2,2008,2008,12,0,,5502
First Libyan Civil War,NATO,1,2011,2011,4,0,,3628
First Libyan Civil War,Qatar,1,2011,2011,4,0,,3628
First Libyan Civil War,Sweden,1,2011,2011,4,0,,3628
First Libyan Civil War,United Arab Emirates,1,2011,2011,4,0,,3628
First Libyan Civil War,Libya,2,2011,2011,4,0,3000.0,3628
Heglig Crisis,Sudan,1,2012,2012,4,0,1200.0,2483
Heglig Crisis,South Sudan,2,2012,2012,4,0,280.0,2483
